# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	min(T)
136.331886    	1.022337e+03
137.331886    	1.024301e+03
138.331886    	1.026249e+03
139.331886    	1.028180e+03
140.331886    	1.030092e+03
141.331886    	1.031986e+03
142.331886    	1.033862e+03
143.331886    	1.035718e+03
144.331886    	1.037557e+03
145.331886    	1.039377e+03
146.331886    	1.041180e+03
147.331886    	1.042965e+03
148.331886    	1.044735e+03
149.331886    	1.046491e+03
150.331886    	1.048232e+03
151.331886    	1.049957e+03
152.331886    	1.051665e+03
153.331886    	1.053357e+03
154.331886    	1.055032e+03
155.331886    	1.056690e+03
156.331886    	1.058331e+03
157.331886    	1.059956e+03
158.331886    	1.061565e+03
159.331886    	1.063157e+03
160.331886    	1.064732e+03
161.331886    	1.066292e+03
162.331886    	1.067835e+03
163.331886    	1.069363e+03
164.331886    	1.070875e+03
165.331886    	1.072371e+03
166.331886    	1.073852e+03
167.331886    	1.075317e+03
168.331886    	1.076767e+03
169.331886    	1.078202e+03
170.331886    	1.079622e+03
171.331886    	1.081026e+03
172.331886    	1.082415e+03
173.331886    	1.083789e+03
174.331886    	1.085148e+03
175.331886    	1.086492e+03
176.331886    	1.087822e+03
177.331886    	1.089138e+03
178.331886    	1.090440e+03
179.331886    	1.091728e+03
180.331886    	1.093002e+03
181.331886    	1.094262e+03
182.331886    	1.095510e+03
183.331886    	1.096744e+03
184.331886    	1.097965e+03
185.331886    	1.099173e+03
186.331886    	1.100368e+03
187.331886    	1.101551e+03
188.331886    	1.102722e+03
189.331886    	1.103880e+03
190.331886    	1.105026e+03
191.331886    	1.106160e+03
192.331886    	1.107283e+03
193.331886    	1.108394e+03
194.331886    	1.109493e+03
195.331886    	1.110580e+03
196.331886    	1.111657e+03
197.331886    	1.112722e+03
198.331886    	1.113777e+03
199.331886    	1.114820e+03
200.331886    	1.115853e+03
201.331886    	1.116875e+03
202.331886    	1.117887e+03
203.331886    	1.118888e+03
204.331886    	1.119879e+03
205.331886    	1.120860e+03
206.331886    	1.121831e+03
207.331886    	1.122792e+03
208.331886    	1.123743e+03
209.331886    	1.124685e+03
210.331886    	1.125617e+03
211.331886    	1.126539e+03
212.331886    	1.127452e+03
213.331886    	1.128356e+03
214.331886    	1.129251e+03
215.331886    	1.130137e+03
216.331886    	1.131014e+03
217.331886    	1.131882e+03
218.331886    	1.132741e+03
219.331886    	1.133592e+03
220.331886    	1.134434e+03
221.331886    	1.135268e+03
222.331886    	1.136094e+03
223.331886    	1.136911e+03
224.331886    	1.137720e+03
225.331886    	1.138521e+03
226.331886    	1.139314e+03
227.331886    	1.140099e+03
228.331886    	1.140876e+03
229.331886    	1.141646e+03
230.331886    	1.142408e+03
231.331886    	1.143162e+03
232.331886    	1.143909e+03
233.331886    	1.144649e+03
