# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	min(T)
134.331886    	9.812707e+02
135.331886    	9.837406e+02
136.331886    	9.861852e+02
137.331886    	9.886048e+02
138.331886    	9.909997e+02
139.331886    	9.933701e+02
140.331886    	9.957163e+02
141.331886    	9.980386e+02
142.331886    	1.000337e+03
143.331886    	1.002612e+03
144.331886    	1.004864e+03
145.331886    	1.007093e+03
146.331886    	1.009299e+03
147.331886    	1.011482e+03
148.331886    	1.013643e+03
149.331886    	1.015782e+03
150.331886    	1.017900e+03
151.331886    	1.019995e+03
152.331886    	1.022070e+03
153.331886    	1.024123e+03
154.331886    	1.026155e+03
155.331886    	1.028166e+03
156.331886    	1.030156e+03
157.331886    	1.032127e+03
158.331886    	1.034077e+03
159.331886    	1.036007e+03
160.331886    	1.037918e+03
161.331886    	1.039809e+03
162.331886    	1.041681e+03
163.331886    	1.043533e+03
164.331886    	1.045367e+03
165.331886    	1.047182e+03
166.331886    	1.048979e+03
167.331886    	1.050757e+03
168.331886    	1.052516e+03
169.331886    	1.054258e+03
170.331886    	1.055982e+03
171.331886    	1.057689e+03
172.331886    	1.059378e+03
173.331886    	1.061050e+03
174.331886    	1.062705e+03
175.331886    	1.064342e+03
176.331886    	1.065963e+03
177.331886    	1.067568e+03
178.331886    	1.069156e+03
179.331886    	1.070728e+03
180.331886    	1.072284e+03
181.331886    	1.073824e+03
182.331886    	1.075348e+03
183.331886    	1.076857e+03
184.331886    	1.078350e+03
185.331886    	1.079828e+03
186.331886    	1.081291e+03
187.331886    	1.082739e+03
188.331886    	1.084172e+03
189.331886    	1.085590e+03
190.331886    	1.086994e+03
191.331886    	1.088384e+03
192.331886    	1.089759e+03
193.331886    	1.091121e+03
194.331886    	1.092468e+03
195.331886    	1.093802e+03
196.331886    	1.095122e+03
197.331886    	1.096428e+03
198.331886    	1.097722e+03
199.331886    	1.099002e+03
200.331886    	1.100269e+03
201.331886    	1.101523e+03
202.331886    	1.102764e+03
203.331886    	1.103992e+03
204.331886    	1.105208e+03
205.331886    	1.106412e+03
206.331886    	1.107603e+03
207.331886    	1.108782e+03
208.331886    	1.109949e+03
209.331886    	1.111104e+03
210.331886    	1.112248e+03
211.331886    	1.113379e+03
212.331886    	1.114499e+03
213.331886    	1.115608e+03
214.331886    	1.116705e+03
215.331886    	1.117791e+03
216.331886    	1.118866e+03
217.331886    	1.119930e+03
218.331886    	1.120983e+03
219.331886    	1.122026e+03
220.331886    	1.123057e+03
221.331886    	1.124079e+03
222.331886    	1.125089e+03
223.331886    	1.126090e+03
224.331886    	1.127080e+03
225.331886    	1.128060e+03
226.331886    	1.129030e+03
227.331886    	1.129990e+03
228.331886    	1.130940e+03
229.331886    	1.131881e+03
230.331886    	1.132812e+03
231.331886    	1.133734e+03
232.331886    	1.134646e+03
233.331886    	1.135548e+03
234.331886    	1.136442e+03
235.331886    	1.137326e+03
236.331886    	1.138202e+03
237.331886    	1.139068e+03
238.331886    	1.139926e+03
239.331886    	1.140774e+03
240.331886    	1.141615e+03
241.331886    	1.142446e+03
242.331886    	1.143269e+03
243.331886    	1.144084e+03
244.331886    	1.144890e+03
245.331886    	1.145688e+03
246.331886    	1.146478e+03
247.331886    	1.147260e+03
248.331886    	1.148034e+03
249.331886    	1.148800e+03
250.331886    	1.149558e+03
251.331886    	1.150308e+03
252.331886    	1.151051e+03
253.331886    	1.151786e+03
254.331886    	1.152514e+03
255.331886    	1.153234e+03
256.331886    	1.153947e+03
257.331886    	1.154653e+03
258.331886    	1.155351e+03
259.331886    	1.156042e+03
260.331886    	1.156726e+03
261.331886    	1.157403e+03
262.331886    	1.158074e+03
263.331886    	1.158737e+03
264.331886    	1.159394e+03
265.331886    	1.160043e+03
266.331886    	1.160687e+03
267.331886    	1.161323e+03
268.331886    	1.161954e+03
269.331886    	1.162577e+03
270.331886    	1.163195e+03
271.331886    	1.163806e+03
272.331886    	1.164411e+03
273.331886    	1.165009e+03
274.331886    	1.165602e+03
275.331886    	1.166188e+03
276.331886    	1.166769e+03
277.331886    	1.167343e+03
278.331886    	1.167912e+03
279.331886    	1.168475e+03
280.331886    	1.169032e+03
281.331886    	1.169583e+03
282.331886    	1.170129e+03
283.331886    	1.170669e+03
284.331886    	1.171204e+03
285.331886    	1.171733e+03
286.331886    	1.172257e+03
287.331886    	1.172775e+03
288.331886    	1.173289e+03
289.331886    	1.173797e+03
290.331886    	1.174299e+03
291.331886    	1.174797e+03
292.331886    	1.175289e+03
293.331886    	1.175777e+03
294.331886    	1.176259e+03
295.331886    	1.176737e+03
296.331886    	1.177210e+03
297.331886    	1.177678e+03
298.331886    	1.178141e+03
299.331886    	1.178599e+03
300.331886    	1.179053e+03
301.331886    	1.179502e+03
302.331886    	1.179946e+03
303.331886    	1.180386e+03
304.331886    	1.180821e+03
305.331886    	1.181252e+03
306.331886    	1.181679e+03
307.331886    	1.182101e+03
308.331886    	1.182519e+03
309.331886    	1.182933e+03
310.331886    	1.183342e+03
311.331886    	1.183747e+03
312.331886    	1.184148e+03
313.331886    	1.184545e+03
314.331886    	1.184938e+03
315.331886    	1.185327e+03
316.331886    	1.185712e+03
317.331886    	1.186093e+03
318.331886    	1.186470e+03
319.331886    	1.186843e+03
320.331886    	1.187213e+03
321.331886    	1.187578e+03
322.331886    	1.187940e+03
323.331886    	1.188299e+03
324.331886    	1.188653e+03
325.331886    	1.189004e+03
326.331886    	1.189351e+03
327.331886    	1.189695e+03
328.331886    	1.190035e+03
329.331886    	1.190372e+03
