# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	max(T)
229.331886    	1.163120e+03
230.331886    	1.163677e+03
231.331886    	1.164229e+03
232.331886    	1.164776e+03
233.331886    	1.165317e+03
234.331886    	1.165853e+03
235.331886    	1.166384e+03
236.331886    	1.166910e+03
237.331886    	1.167430e+03
238.331886    	1.167946e+03
239.331886    	1.168456e+03
240.331886    	1.168961e+03
241.331886    	1.169462e+03
242.331886    	1.169958e+03
243.331886    	1.170448e+03
244.331886    	1.170935e+03
245.331886    	1.171416e+03
246.331886    	1.171893e+03
247.331886    	1.172365e+03
248.331886    	1.172832e+03
249.331886    	1.173295e+03
250.331886    	1.173754e+03
251.331886    	1.174208e+03
252.331886    	1.174658e+03
253.331886    	1.175103e+03
254.331886    	1.175545e+03
255.331886    	1.175982e+03
256.331886    	1.176414e+03
257.331886    	1.176843e+03
258.331886    	1.177267e+03
259.331886    	1.177688e+03
260.331886    	1.178104e+03
261.331886    	1.178517e+03
262.331886    	1.178925e+03
263.331886    	1.179330e+03
264.331886    	1.179731e+03
265.331886    	1.180128e+03
266.331886    	1.180521e+03
267.331886    	1.180910e+03
268.331886    	1.181296e+03
269.331886    	1.181678e+03
270.331886    	1.182057e+03
271.331886    	1.182432e+03
272.331886    	1.182803e+03
273.331886    	1.183171e+03
274.331886    	1.183535e+03
275.331886    	1.183896e+03
276.331886    	1.184254e+03
277.331886    	1.184608e+03
278.331886    	1.184958e+03
279.331886    	1.185306e+03
280.331886    	1.185650e+03
281.331886    	1.185991e+03
282.331886    	1.186329e+03
283.331886    	1.186663e+03
284.331886    	1.186995e+03
285.331886    	1.187323e+03
286.331886    	1.187648e+03
287.331886    	1.187970e+03
288.331886    	1.188289e+03
289.331886    	1.188606e+03
290.331886    	1.188919e+03
291.331886    	1.189229e+03
292.331886    	1.189536e+03
293.331886    	1.189841e+03
294.331886    	1.190142e+03
295.331886    	1.190441e+03
296.331886    	1.190737e+03
297.331886    	1.191030e+03
298.331886    	1.191321e+03
299.331886    	1.191609e+03
300.331886    	1.191894e+03
301.331886    	1.192176e+03
302.331886    	1.192456e+03
303.331886    	1.192733e+03
304.331886    	1.193008e+03
305.331886    	1.193280e+03
306.331886    	1.193550e+03
307.331886    	1.193817e+03
308.331886    	1.194081e+03
309.331886    	1.194343e+03
