# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	average(T)
288.331886    	1.174985e+03
289.331886    	1.175475e+03
290.331886    	1.175961e+03
291.331886    	1.176442e+03
292.331886    	1.176917e+03
293.331886    	1.177388e+03
294.331886    	1.177854e+03
295.331886    	1.178316e+03
296.331886    	1.178772e+03
297.331886    	1.179224e+03
298.331886    	1.179671e+03
299.331886    	1.180114e+03
300.331886    	1.180552e+03
301.331886    	1.180986e+03
302.331886    	1.181415e+03
303.331886    	1.181840e+03
304.331886    	1.182261e+03
305.331886    	1.182677e+03
306.331886    	1.183089e+03
307.331886    	1.183497e+03
308.331886    	1.183900e+03
309.331886    	1.184300e+03
310.331886    	1.184695e+03
311.331886    	1.185087e+03
312.331886    	1.185474e+03
313.331886    	1.185857e+03
314.331886    	1.186237e+03
315.331886    	1.186613e+03
316.331886    	1.186984e+03
317.331886    	1.187352e+03
318.331886    	1.187717e+03
319.331886    	1.188077e+03
320.331886    	1.188434e+03
321.331886    	1.188787e+03
322.331886    	1.189137e+03
323.331886    	1.189483e+03
324.331886    	1.189825e+03
325.331886    	1.190164e+03
326.331886    	1.190500e+03
327.331886    	1.190832e+03
328.331886    	1.191160e+03
329.331886    	1.191486e+03
330.331886    	1.191808e+03
331.331886    	1.192126e+03
332.331886    	1.192442e+03
333.331886    	1.192754e+03
334.331886    	1.193063e+03
335.331886    	1.193369e+03
336.331886    	1.193672e+03
337.331886    	1.193971e+03
338.331886    	1.194268e+03
339.331886    	1.194562e+03
340.331886    	1.194852e+03
341.331886    	1.195140e+03
342.331886    	1.195424e+03
343.331886    	1.195706e+03
344.331886    	1.195985e+03
345.331886    	1.196261e+03
346.331886    	1.196534e+03
347.331886    	1.196805e+03
348.331886    	1.197072e+03
349.331886    	1.197337e+03
350.331886    	1.197599e+03
351.331886    	1.197859e+03
352.331886    	1.198116e+03
353.331886    	1.198370e+03
354.331886    	1.198622e+03
355.331886    	1.198871e+03
356.331886    	1.199117e+03
357.331886    	1.199361e+03
358.331886    	1.199603e+03
359.331886    	1.199842e+03
360.331886    	1.198979e+03
361.331886    	1.197592e+03
362.331886    	1.196679e+03
363.331886    	1.195764e+03
364.331886    	1.194848e+03
365.331886    	1.193930e+03
366.331886    	1.193011e+03
367.331886    	1.192092e+03
368.331886    	1.191171e+03
369.331886    	1.190251e+03
370.331886    	1.189330e+03
371.331886    	1.188409e+03
372.331886    	1.187489e+03
373.331886    	1.186568e+03
374.331886    	1.185647e+03
375.331886    	1.184726e+03
376.331886    	1.183806e+03
377.331886    	1.182886e+03
378.331886    	1.181966e+03
379.331886    	1.181046e+03
380.331886    	1.180127e+03
381.331886    	1.179209e+03
382.331886    	1.178290e+03
383.331886    	1.177373e+03
384.331886    	1.176456e+03
385.331886    	1.175539e+03
386.331886    	1.174623e+03
387.331886    	1.173708e+03
388.331886    	1.172793e+03
389.331886    	1.168159e+03
390.331886    	1.147171e+03
391.331886    	1.124854e+03
392.331886    	1.103070e+03
393.331886    	1.081836e+03
394.331886    	1.061153e+03
395.331886    	1.041016e+03
396.331886    	1.021413e+03
397.331886    	1.002331e+03
398.331886    	9.837567e+02
399.331886    	9.656761e+02
400.331886    	9.480758e+02
401.331886    	9.309425e+02
402.331886    	9.142632e+02
403.331886    	8.980256e+02
404.331886    	8.822174e+02
405.331886    	8.668270e+02
406.331886    	8.518432e+02
407.331886    	8.372548e+02
408.331886    	8.230514e+02
409.331886    	8.092225e+02
410.331886    	7.957582e+02
411.331886    	7.826488e+02
412.331886    	7.698849e+02
413.331886    	7.574573e+02
414.331886    	7.453570e+02
415.331886    	7.335755e+02
416.331886    	7.221043e+02
417.331886    	7.109352e+02
418.331886    	7.000602e+02
419.331886    	6.894715e+02
420.331886    	6.791617e+02
421.331886    	6.691234e+02
422.331886    	6.593494e+02
423.331886    	6.498327e+02
424.331886    	6.405666e+02
425.331886    	6.315445e+02
426.331886    	6.227600e+02
427.331886    	6.142067e+02
428.331886    	6.058787e+02
429.331886    	5.977700e+02
430.331886    	5.898747e+02
431.331886    	5.821874e+02
432.331886    	5.747024e+02
433.331886    	5.674146e+02
434.331886    	5.603187e+02
435.331886    	5.534096e+02
436.331886    	5.466825e+02
437.331886    	5.401325e+02
438.331886    	5.337550e+02
439.331886    	5.275454e+02
440.331886    	5.214994e+02
441.331886    	5.156126e+02
442.331886    	5.098808e+02
443.331886    	5.043000e+02
444.331886    	4.988661e+02
445.331886    	4.935754e+02
446.331886    	4.884240e+02
447.331886    	4.834082e+02
448.331886    	4.785246e+02
449.331886    	4.737695e+02
450.331886    	4.691397e+02
451.331886    	4.646319e+02
452.331886    	4.602428e+02
453.331886    	4.559692e+02
454.331886    	4.518083e+02
455.331886    	4.477569e+02
456.331886    	4.438122e+02
457.331886    	4.399714e+02
458.331886    	4.362318e+02
459.331886    	4.325907e+02
460.331886    	4.290455e+02
461.331886    	4.255936e+02
462.331886    	4.222327e+02
463.331886    	4.189603e+02
464.331886    	4.157741e+02
465.331886    	4.126718e+02
466.331886    	4.096513e+02
467.331886    	4.067103e+02
468.331886    	4.038467e+02
469.331886    	4.010586e+02
470.331886    	3.983440e+02
471.331886    	3.957008e+02
472.331886    	3.931272e+02
473.331886    	3.906215e+02
474.331886    	3.881817e+02
475.331886    	3.858062e+02
476.331886    	3.834933e+02
477.331886    	3.812413e+02
478.331886    	3.790487e+02
479.331886    	3.769137e+02
480.331886    	3.748350e+02
481.331886    	3.728111e+02
482.331886    	3.708405e+02
483.331886    	3.689218e+02
484.331886    	3.670536e+02
485.331886    	3.652347e+02
486.331886    	3.634636e+02
487.331886    	3.617392e+02
488.331886    	3.600602e+02
489.331886    	3.584255e+02
490.331886    	3.568338e+02
491.331886    	3.552840e+02
492.331886    	3.537751e+02
493.331886    	3.523059e+02
494.331886    	3.508754e+02
495.331886    	3.494826e+02
496.331886    	3.481265e+02
497.331886    	3.468061e+02
498.331886    	3.455205e+02
499.331886    	3.442687e+02
500.331886    	3.430499e+02
501.331886    	3.418633e+02
502.331886    	3.407078e+02
503.331886    	3.395829e+02
504.331886    	3.384875e+02
505.331886    	3.374210e+02
506.331886    	3.363826e+02
507.331886    	3.353716e+02
508.331886    	3.343871e+02
509.331886    	3.334287e+02
510.331886    	3.324954e+02
511.331886    	3.315868e+02
512.331886    	3.307020e+02
513.331886    	3.298406e+02
514.331886    	3.290019e+02
515.331886    	3.281853e+02
516.331886    	3.273901e+02
517.331886    	3.266160e+02
518.331886    	3.258622e+02
519.331886    	3.251282e+02
520.331886    	3.244137e+02
521.331886    	3.237179e+02
522.331886    	3.230404e+02
523.331886    	3.223808e+02
524.331886    	3.217386e+02
525.331886    	3.211133e+02
526.331886    	3.205045e+02
527.331886    	3.199117e+02
528.331886    	3.193345e+02
529.331886    	3.187725e+02
530.331886    	3.182253e+02
531.331886    	3.176926e+02
532.331886    	3.171738e+02
533.331886    	3.166688e+02
534.331886    	3.161770e+02
535.331886    	3.156982e+02
536.331886    	3.152320e+02
537.331886    	3.147781e+02
538.331886    	3.143361e+02
539.331886    	3.139058e+02
540.331886    	3.134868e+02
541.331886    	3.130789e+02
542.331886    	3.126817e+02
543.331886    	3.122949e+02
544.331886    	3.119184e+02
545.331886    	3.115518e+02
546.331886    	3.111948e+02
547.331886    	3.108472e+02
548.331886    	3.105088e+02
549.331886    	3.101793e+02
550.331886    	3.098585e+02
551.331886    	3.095461e+02
552.331886    	3.092420e+02
553.331886    	3.089459e+02
554.331886    	3.086575e+02
555.331886    	3.083768e+02
556.331886    	3.081035e+02
557.331886    	3.078373e+02
558.331886    	3.075782e+02
559.331886    	3.073259e+02
560.331886    	3.070802e+02
561.331886    	3.068410e+02
562.331886    	3.066082e+02
563.331886    	3.063814e+02
564.331886    	3.061606e+02
565.331886    	3.059457e+02
566.331886    	3.057364e+02
567.331886    	3.055326e+02
568.331886    	3.053342e+02
569.331886    	3.051410e+02
570.331886    	3.049529e+02
571.331886    	3.047697e+02
572.331886    	3.045914e+02
573.331886    	3.044178e+02
574.331886    	3.042487e+02
575.331886    	3.040841e+02
576.331886    	3.039238e+02
577.331886    	3.037678e+02
578.331886    	3.036159e+02
579.331886    	3.034679e+02
580.331886    	3.033239e+02
581.331886    	3.031837e+02
582.331886    	3.030471e+02
583.331886    	3.029142e+02
584.331886    	3.027847e+02
585.331886    	3.026587e+02
586.331886    	3.025360e+02
587.331886    	3.024165e+02
588.331886    	3.023002e+02
589.331886    	3.021869e+02
590.331886    	3.020766e+02
591.331886    	3.019692e+02
592.331886    	3.018647e+02
593.331886    	3.017629e+02
594.331886    	3.016637e+02
595.331886    	3.015672e+02
596.331886    	3.014733e+02
597.331886    	3.013818e+02
598.331886    	3.012927e+02
599.331886    	3.012060e+02
