# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	max(T)
281.331886    	1.179903e+03
282.331886    	1.180343e+03
283.331886    	1.180779e+03
284.331886    	1.181210e+03
285.331886    	1.181637e+03
286.331886    	1.182060e+03
287.331886    	1.182478e+03
288.331886    	1.182892e+03
289.331886    	1.183302e+03
290.331886    	1.183708e+03
291.331886    	1.184109e+03
292.331886    	1.184507e+03
293.331886    	1.184900e+03
294.331886    	1.185289e+03
295.331886    	1.185674e+03
296.331886    	1.186056e+03
297.331886    	1.186433e+03
298.331886    	1.186807e+03
299.331886    	1.187177e+03
300.331886    	1.187543e+03
301.331886    	1.187905e+03
302.331886    	1.188264e+03
303.331886    	1.188619e+03
304.331886    	1.188970e+03
305.331886    	1.189318e+03
306.331886    	1.189662e+03
307.331886    	1.190002e+03
308.331886    	1.190339e+03
309.331886    	1.190673e+03
310.331886    	1.191003e+03
311.331886    	1.191330e+03
312.331886    	1.191654e+03
313.331886    	1.191974e+03
314.331886    	1.192291e+03
315.331886    	1.192605e+03
316.331886    	1.192916e+03
317.331886    	1.193223e+03
318.331886    	1.193527e+03
319.331886    	1.193828e+03
320.331886    	1.194126e+03
321.331886    	1.194421e+03
322.331886    	1.194713e+03
323.331886    	1.195002e+03
324.331886    	1.195289e+03
325.331886    	1.195572e+03
326.331886    	1.195852e+03
327.331886    	1.196129e+03
328.331886    	1.196404e+03
329.331886    	1.196676e+03
330.331886    	1.196945e+03
331.331886    	1.197211e+03
332.331886    	1.197474e+03
333.331886    	1.197735e+03
334.331886    	1.197993e+03
335.331886    	1.198249e+03
336.331886    	1.198502e+03
337.331886    	1.198752e+03
338.331886    	1.199000e+03
339.331886    	1.199245e+03
340.331886    	1.199488e+03
341.331886    	1.199728e+03
342.331886    	1.199966e+03
343.331886    	1.200201e+03
344.331886    	1.200434e+03
345.331886    	1.200665e+03
346.331886    	1.200893e+03
347.331886    	1.201119e+03
348.331886    	1.201342e+03
349.331886    	1.201563e+03
350.331886    	1.201783e+03
351.331886    	1.201999e+03
352.331886    	1.202214e+03
353.331886    	1.202426e+03
354.331886    	1.202636e+03
355.331886    	1.202845e+03
356.331886    	1.203050e+03
357.331886    	1.203254e+03
358.331886    	1.203456e+03
359.331886    	1.203656e+03
360.331886    	1.201346e+03
361.331886    	1.198531e+03
362.331886    	1.197850e+03
363.331886    	1.197157e+03
364.331886    	1.196450e+03
365.331886    	1.195721e+03
366.331886    	1.194969e+03
367.331886    	1.194191e+03
368.331886    	1.193391e+03
369.331886    	1.192578e+03
370.331886    	1.191752e+03
371.331886    	1.190912e+03
372.331886    	1.190060e+03
373.331886    	1.189198e+03
374.331886    	1.188329e+03
375.331886    	1.187455e+03
376.331886    	1.186575e+03
377.331886    	1.185690e+03
378.331886    	1.184801e+03
379.331886    	1.183908e+03
380.331886    	1.183012e+03
381.331886    	1.182114e+03
382.331886    	1.181213e+03
383.331886    	1.180311e+03
384.331886    	1.179407e+03
385.331886    	1.178501e+03
386.331886    	1.177597e+03
